index,DiagonalNonZeros,AbsoluteTrace,OneNorm,Trace,Dimension,SymmeticInfinityNorm,DiagonalMean,solver,label,time
201,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,26415432.0,0.0,0.00029397
202,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,45869640.0,0.0,0.00027084
203,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,75830645.0,0.0,0.00032306
204,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,75830647.0,0.0,0.00032401
205,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,26415434.0,0.0,0.00030184
206,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,26415432.0,0.0,0.00029516
207,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,45869640.0,0.0,0.00026512
208,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,75830645.0,0.0,0.00032282
209,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,45869640.0,0.0,0.00027013
210,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,75830647.0,0.0,0.00021815
211,20002.0,334033.0,48.0,345486.0,20002.0,48.0,17.2726,26415434.0,0.0,0.00031495
212,20002.0,334033.0,48.0,345486.0,20002.0,48.0,17.2726,26415432.0,0.0,0.00029683
213,20002.0,334033.0,48.0,345486.0,20002.0,48.0,17.2726,45869640.0,0.0,0.00026798
214,20002.0,334033.0,48.0,345486.0,20002.0,48.0,17.2726,75830645.0,0.0,0.0003252
215,20002.0,334033.0,48.0,345486.0,20002.0,48.0,17.2726,75830647.0,0.0,0.00031781
216,20002.0,334700.0,48.0,346197.0,20002.0,48.0,17.3081,26415434.0,0.0,0.00029397
217,20002.0,334700.0,48.0,346197.0,20002.0,48.0,17.3081,26415432.0,0.0,0.00030112
218,20002.0,334700.0,48.0,346197.0,20002.0,48.0,17.3081,45869640.0,0.0,0.00026608
219,20002.0,334700.0,48.0,346197.0,20002.0,48.0,17.3081,75830645.0,0.0,0.00032306
220,20002.0,333367.0,48.0,344952.0,20002.0,48.0,17.2459,45869640.0,0.0,0.00018096
221,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,26415434.0,0.0,0.00021386
222,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,45869640.0,0.0,0.00026298
223,20002.0,333367.0,48.0,344978.0,20002.0,48.0,17.2472,26415432.0,0.0,0.00029898
224,20002.0,333367.0,48.0,344978.0,20002.0,48.0,17.2472,45869640.0,0.0,0.00026608
225,20002.0,333367.0,48.0,344978.0,20002.0,48.0,17.2472,75830645.0,0.0,0.00032306
226,20002.0,333367.0,48.0,344978.0,20002.0,48.0,17.2472,75830647.0,0.0,0.00032306
227,20002.0,335367.0,51.0,346890.0,20002.0,51.0,17.3428,26415434.0,0.0,0.00029802
228,20002.0,335367.0,51.0,346890.0,20002.0,51.0,17.3428,26415432.0,0.0,0.00029206
229,20002.0,335367.0,51.0,346890.0,20002.0,51.0,17.3428,45869640.0,0.0,0.00026608
230,20002.0,335367.0,51.0,346890.0,20002.0,51.0,17.3428,75830645.0,0.0,0.00031781
231,20002.0,335367.0,51.0,346890.0,20002.0,51.0,17.3428,75830647.0,0.0,0.00032115
232,20002.0,333367.0,48.0,344952.0,20002.0,48.0,17.2459,26415434.0,0.0,0.00029802
233,20002.0,333367.0,48.0,344952.0,20002.0,48.0,17.2459,26415432.0,0.0,0.00029993
234,20002.0,333367.0,48.0,344952.0,20002.0,48.0,17.2459,75830645.0,0.0,0.00032091
235,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,26415434.0,0.0,0.0003109
236,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,26415432.0,0.0,0.00029802
237,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,45869640.0,0.0,0.00026584
238,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,75830645.0,0.0,0.00032091
239,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,75830647.0,0.0,0.00033498
240,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,26415432.0,0.0,0.00029993
241,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,45869640.0,0.0,0.00027204
242,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,75830645.0,0.0,0.00033379
243,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,75830647.0,0.0,0.00032401
244,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,26415434.0,0.0,0.00029421
245,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,26415432.0,0.0,0.00029683
246,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,45869640.0,0.0,0.00026703
247,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,75830647.0,0.0,0.00032091
248,20002.0,334033.0,49.0,344935.0,20002.0,49.0,17.245,26415434.0,0.0,0.00029182
249,20002.0,334033.0,49.0,344935.0,20002.0,49.0,17.245,26415432.0,0.0,0.00030899
250,20002.0,334033.0,49.0,344935.0,20002.0,49.0,17.245,45869640.0,0.0,0.00026917
251,20002.0,334033.0,49.0,344935.0,20002.0,49.0,17.245,75830645.0,0.0,0.00031805
252,20002.0,334033.0,49.0,344935.0,20002.0,49.0,17.245,75830647.0,0.0,0.000314
253,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,26415434.0,0.0,0.00029397
254,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,26415432.0,0.0,0.0003171
255,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,45869640.0,0.0,0.00026703
256,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,75830645.0,0.0,0.00032091
257,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,75830647.0,0.0,0.00032115
258,20002.0,334700.0,48.0,346189.0,20002.0,48.0,17.3077,45869640.0,0.0,0.00020695
259,20002.0,335367.0,48.0,346624.0,20002.0,48.0,17.3294,26415434.0,0.0,0.00029302
260,20002.0,335367.0,48.0,346624.0,20002.0,48.0,17.3294,26415432.0,0.0,0.00029588
261,20002.0,335367.0,48.0,346624.0,20002.0,48.0,17.3294,45869640.0,0.0,0.00026894
262,20002.0,335367.0,48.0,346624.0,20002.0,48.0,17.3294,75830645.0,0.0,0.00022817
263,20002.0,334033.0,50.0,346558.0,20002.0,50.0,17.3262,26415434.0,0.0,0.00029898
264,20002.0,334033.0,50.0,346558.0,20002.0,50.0,17.3262,26415432.0,0.0,0.00029898
