Average.clustering.coefficient,Diameter..longest.shortest.path.,Edges.in.largest.SCC,Edges.in.largest.WCC,Fraction.of.closed.triangles,Nodes.in.largest.SCC,Nodes.in.largest.WCC,Number.of.triangles,X90.percentile.effective.diameter,algorithm,classif,dataset,nedges,nthreads,nvertices,package,runtime
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,45.0,16777216.0,1.0,1048576.0,0.0,0.043226
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,45.0,16777216.0,1.0,1048576.0,3.0,0.491010003
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,45.0,16777216.0,1.0,1048576.0,4.0,0.27333359999999995
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,47.0,16777216.0,1.0,1048576.0,1.0,0.40299999999999997
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,47.0,16777216.0,1.0,1048576.0,0.0,0.042589999999999996
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,47.0,16777216.0,1.0,1048576.0,3.0,0.46165176399999996
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,47.0,16777216.0,1.0,1048576.0,4.0,0.2704046
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,49.0,16777216.0,1.0,1048576.0,1.0,0.408
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,49.0,16777216.0,1.0,1048576.0,0.0,0.05609600000000001
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,49.0,16777216.0,1.0,1048576.0,3.0,0.47057181200000003
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,49.0,16777216.0,1.0,1048576.0,4.0,0.27286679999999996
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,51.0,16777216.0,1.0,1048576.0,3.0,2.35249
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,53.0,16777216.0,1.0,1048576.0,1.0,0.401
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,53.0,16777216.0,1.0,1048576.0,0.0,0.064538
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,53.0,16777216.0,1.0,1048576.0,3.0,0.477945526
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,53.0,16777216.0,1.0,1048576.0,4.0,0.3088136
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,55.0,16777216.0,1.0,1048576.0,1.0,0.401
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,55.0,16777216.0,1.0,1048576.0,0.0,0.060126
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,55.0,16777216.0,1.0,1048576.0,3.0,0.47571971700000004
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,55.0,16777216.0,1.0,1048576.0,4.0,0.2707456
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,57.0,16777216.0,1.0,1048576.0,1.0,0.40700000000000003
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,57.0,16777216.0,1.0,1048576.0,0.0,0.04228
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,57.0,16777216.0,1.0,1048576.0,3.0,0.473260003
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,57.0,16777216.0,1.0,1048576.0,4.0,0.2708196
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,59.0,16777216.0,1.0,1048576.0,1.0,0.40299999999999997
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,59.0,16777216.0,1.0,1048576.0,0.0,0.030924
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,59.0,16777216.0,1.0,1048576.0,3.0,0.47294162100000003
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,59.0,16777216.0,1.0,1048576.0,4.0,0.27156420000000003
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,61.0,16777216.0,1.0,1048576.0,1.0,0.406
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,61.0,16777216.0,1.0,1048576.0,0.0,0.049114
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,61.0,16777216.0,1.0,1048576.0,3.0,0.474029574
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,61.0,16777216.0,1.0,1048576.0,4.0,0.2720964
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,63.0,16777216.0,1.0,1048576.0,1.0,0.406
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,63.0,16777216.0,1.0,1048576.0,0.0,0.04502
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,63.0,16777216.0,1.0,1048576.0,3.0,0.47578981200000003
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,63.0,16777216.0,1.0,1048576.0,4.0,0.3181422
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,65.0,16777216.0,1.0,1048576.0,1.0,0.408
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,65.0,16777216.0,1.0,1048576.0,0.0,0.041257999999999996
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,65.0,16777216.0,1.0,1048576.0,3.0,0.47558986
